Codigo,Nombre,Precio,Inventario,Descripcion,SinIVA,ConIVA,Venta,Final
810083043708,EXPLODINGKITTENSZOMBIE,$22.000,3,EXPLODING KITTENS ZOMBIE,$12.350,$14.700,$22.000,
196214119154,POKBLACKBOLTTECHSTICKERENG,22000,3,Black Bolt Tech Sticker (ENG),11171,"13293,49",$19.000,22000
3664824002250,PILOPILO,$21.000,3,Pilo Pilo,,,$21.000,
8425402835630,DELICATS,20000,3,Delicats,11759,"13993,21",20000,
8425402835647,DESPISTADOSENLAGRANJA,20000,3,Despistados En La Granja,11759,"13993,21",20000,
7804673990247,MATCHPERRRFECTO,$20.000,3,Match Perrrfecto,11759,"13993,21",$20.000,
8005125394210,PuzzleMundoEnsueno,$20.000,3,Puzzle 1000 piezas Mundo Ensueno,$9.995,$11.894,$20.000,
8005125399826,PZZL1000CASTHIMEJICOMPACT,$20.000,3,Puzzle 1000 Castillo Himeji Compact,,,$20.000,
8005125399673,PZZL1000MUSEOPERLACOMPACT,$20.000,3,Puzzle 1000 Museo Mujer con Perla VERMEER Compact,,,$20.000,
8005125399680,PZZL1000MUSEOSALAARLESCOMPACT,$20.000,3,Puzzle 1000 Museo Sala de Arles V GOGH Compact,,,$20.000,
8005125398454,PZZL1000PSTLBERLINCOMPACT,$20.000,3,Puzzle 1000 Postal Berlin Compact,,,$20.000,
3664824001345,VOLTO,$20.000,3,Volto,,,$20.000,
8436589624962,SOVIETKITCHEN,$18.000,3,SOVIET KITCHEN,$10.582,$12.600,$18.000,
8435407635265,BRAINBOXHP,$17.000,3,BRAINBOX HP,$9.406,$11.200,$17.000,
3558380100140,HAPPYLITTLEDINOSAURS5-6,$16.000,3,HAPPY LITTLE DINOSAURS EXP 5 A 6 JUGADORES,$9.406,$11.200,$16.000,
5025822234384,BRAINBOXDINOSAURIOS,$15.000,3,BRAINBOX DINOSAURIOS,$8.818,$10.500,$15.000,
8436589627161,EXITELLABERINTOMALDITO,$15.000,3,"EXIT ""EL LABERINTO MALDITO""",$8.818,$10.493,$15.000,
8436607942054,EXITSHERLOCKHOLMES,$15.000,3,"EXIT ""LA DESAPARICION DE SHERLOCK HOLMES""",$8.818,$10.500,$15.000,
8436589621848,EXITVUELOHACIADESCONOCIDO,$15.000,3,"EXIT ""VUELO HACIA LO DESCONOCIDO""",$8.818,$10.493,$15.000,
8436589620605,LATRIPULACION,$15.000,3,LA TRIPULACION,$8.818,$10.500,$15.000,
724373627892,RANKINGTOP,$14.000,3,31 MINUTOS RANKING TOP,$8.188,$9.800,$14.000,
8436017225709,COLORETTO,$13.000,3,COLORETTO,$7.641,$9.100,$13.000,
8436589624610,EXITCEMENTERIODELASTINIEBLAS,$13.000,3,"EXIT ""EL CEMENTERIO DE LAS TINIEBLAS""",$7.641,$9.093,$13.000,
8436017225204,EXITLABORATORIOSECRETO,13000,3,Exit El Laboratorio Secreto,7641,"9092,79",13000,
8436589620971,EXITLACASADELOSENIGMAS,$13.000,3,"EXIT ""LA CASA DE LOS ENIGMAS""",$7.641,$9.093,$13.000,
8436589620988,EXITLAFERIATERRORIFICA,$13.000,3,"EXIT ""LA FERIA TERRORIFICA""",$7.641,$9.093,$13.000,
8436589621855,EXITROBOENELMISSISIPI,$13.000,3,"EXIT ""ROBO EN EL MISISIPI""",$7.423,$8.900,$13.000,
781718780513,LLAMA,$13.000,3,LLAMA,$7.095,$8.500,$13.000,
724373627984,ODIN,$13.000,3,Odin,$7.095,$8.443,$13.000,
8436607944423,TRIO,$13.000,3,TRIO,$7.641,$9.100,$13.000,
8425402271452,VIRUSDECKBOX,13000,3,Virus Deckbox,5876,"6992,44",$10.000,13000
724373627809,WIZARD,$13.000,3,WIZARD,$7.095,$8.500,$13.000,
3558380126423,SURVIVETHEISLANDMONSTEREXP,$12.000,3,SURVIVE THE ISLAND MONSTER PACK EXPANSION,$7.053,$8.393,$12.000,
8436017220568,CATANJUEGODECARTAS,$11.000,3,CATAN JUEGO DE CARTAS,$6.465,$7.693,$11.000,$11.000
810083047829,EXPLOKITTENSCATCHPACKDANZAMINI,$10.000,3,EXPLODING KITTENS CATCHABLES 2-PACK 3 DANZAMININA,$5.877,$7.000,$10.000,
3770004936311,CORTEX3,$15.000,3,Cortex 3,,,,$15.000
7427254553732,DIOSESJUEGODIVINO,$18.000,3,Dioses Juego Divino,,,,$18.000
8436607941934,CATANPLUS,$75.000,2,Catan Plus,41171,"48993,49",$75.000,
195166121826,STREETS OF NEW CAPENNA THEME B,$7.000,2,STREETS OF NEW CAPENNA THEME BOOSTER,$3.709,$4.500,$7.000,
8435407636682,ARKHAMHORRORLCG,$55.000,2,ARKHAM HORROR LCG EL JUEGO DE CARTAS,$32.288,$38.423,$55.000,
8436607942726,DIPLOMACY,$50.000,2,DIPLOMACY,$29.403,$35.000,$50.000,
8435407641280,EVERGREEN,$50.000,2,EVERGREEN,$29.406,$35.000,$50.000,
8436017225723,LASLEYENDASANDORESPERANZA,$50.000,2,LAS LEYENDAS DE ANDOR ULTIMA ESPERANZA,$29.406,$35.000,$50.000,
8436017221619,SOMBRASSOBRELONDRES,$50.000,2,SOMBRAS SOBRE LONDRES,$28.566,$34.000,$49.000,$50.000
4251715410158,DECKBOX GAMEGENIC 100+ XL AMAR,$5.000,2,DECKBOX GAMEGENIC 100+ XL AMARILLA,$2.053,$2.500,$4.000,$5.000
8435407640986,AZULMASTERCHOCOLATIER,$45.000,2,AZUL MASTER CHOCOLATIER,$26.470,$31.500,$45.000,
8436017226218,BUNNYKINGDOM,$45.000,2,BUNNY KINGDOM,$28.566,$34.000,$49.000,$45.000
3558380111528,LLAMADADECTHULHU,$45.000,2,La Llamada de Chtulhu,26465,"31493,35",$45.000,
8436017226546,SAGRADA,$45.000,2,SAGRADA,$26.465,$31.500,$45.000,
8436017221411,SENDEROSDEGLORIA,$45.000,2,SENDEROS DE GLORIA,$26.465,$31.500,$45.000,
8435450219238,MICROMACRO,$42.000,2,MICROMACRO CRIME CITY,$24.700,$29.393,$42.000,
8005125554379,ArmableAvionesHelicoptero,$40.000,2,Armable Ciencia Aviones Y Helicoptero,$19.995,$23.794,$40.000,
3558380080787,SPLENDORMARVEL,$40.000,2,SPLENDOR MARVEL,$23.524,$28000,$40.000,
8005125554904,ArmableBuggyQuad,$37.000,2,Armable Ciencia Buggy Y Quad,$18.495,$22.009,$37.000,
196214108745,KORAIDONSLASHINGLEGENDSTIN,$37.000,2,Koraidon Slashing Legends Tin (ENG),21759,"25893,21",$37.000,
196214113381,POKLLAMABLANCABOOSTERBUNDLEESP,35000,2,Llama Blanca Booster Bundle (ESP),16759,"19943,21",$28.000,35000
8436589621640,SEÑORDELOSANILLOSEDANV,$35.000,2,SEÑOR DE LOS ANILLOS EDICION ANIVERSARIO,$20.000,$23.800,$34.000,$35.000
724373627779,DRAGONESDELMAR,$33.000,2,Dragones del Mar,$19.112,$22.743,$33.000,
3421271373117,QAWALE,$31.000,2,QAWALE,$17.708,$21.100,$31.000,
196214118362,CARPETENEGREBOLT,$30.000,2,Carpeta Fulgor Negro,17877,"21273,63",$30.000,
5425016922668,CONCEPT,$30.000,2,CONCEPT,$17.641,$21.000,$30.000,
3558380100553,MYSTERIUMKIDSTESOROCAPITANBU,$30.000,2,MYSTERIUM KIDS EL TESORO DEL CAPITAN BU,$17.641,$21.000,$30.000,
